lambda,seed,avg_cyc,p95_cyc,throughput_per_min,empty_ratio
0,1,26.4603,56.4534,16,0.461901
0,2,48.6988,90.7055,14.9333,0.534573
0,3,39.8039,66.5541,16.2667,0.512879
0,4,28.7258,59.9025,16.2667,0.475734
0,5,30.705,57.8918,16.5333,0.455295
0,6,25.4831,53.7928,16.8,0.468515
0,7,43.1107,81.1422,16,0.502067
0,8,36.9344,84.1051,15.4667,0.490761
0.5,1,26.2717,50.9031,17.8667,0.462969
0.5,2,44.5502,77.1547,14.6667,0.514074
0.5,3,37.6398,72.9545,16.2667,0.509084
0.5,4,27.9131,59.0536,17.6,0.453168
0.5,5,26.8328,49.5022,17.3333,0.460353
0.5,6,22.508,40.9525,17.6,0.450919
0.5,7,39.2683,80.9045,16.5333,0.473484
0.5,8,35.3337,62.9038,14.9333,0.470743
1,1,26.2717,50.9031,17.8667,0.462969
1,2,44.5502,77.1547,14.6667,0.514074
1,3,37.6398,72.9545,16.2667,0.509084
1,4,27.9131,59.0536,17.6,0.453168
1,5,26.8328,49.5022,17.3333,0.460353
1,6,22.508,40.9525,17.6,0.450919
1,7,39.2683,80.9045,16.5333,0.473484
1,8,35.3337,62.9038,14.9333,0.470743
2,1,24.6899,50.8031,16.2667,0.467254
2,2,42.5334,86.698,15.4667,0.521222
2,3,32.8908,58.6536,15.7333,0.482746
2,4,27.2978,59.6036,16.5333,0.447024
2,5,26.8328,49.5022,17.3333,0.460353
2,6,22.021,39.3904,17.3333,0.449005
2,7,37.7723,74.3545,16,0.486436
2,8,37.6956,74.098,16.5333,0.477792
4,1,25.7501,47.6453,17.6,0.457978
4,2,40.8234,82.7999,16.2667,0.518018
4,3,34.5215,55.5515,15.4667,0.495505
4,4,29.086,57.1535,16.2667,0.450957
4,5,27.1859,50.1967,17.3333,0.44775
4,6,20.776,35.5522,17.0667,0.444871
4,7,37.1826,70.8978,17.0667,0.473607
4,8,37.8021,83.6051,16.2667,0.475998
8,1,28.6449,63.5965,16.2667,0.465795
8,2,44.1328,80.8535,15.4667,0.532974
8,3,36.1367,76.9524,16.5333,0.4939
8,4,25.6741,51.8032,17.0667,0.428993
8,5,29.9878,64.7452,17.8667,0.468255
8,6,21.8014,40.3025,16.8,0.451665
8,7,32.6365,59.9037,17.0667,0.472467
8,8,36.2263,72.8044,16,0.503266
